,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
369,1402000000.0,100039838.0,2207402.0,55089059.0
370,1402000000.0,100603531.0,2224802.0,55418602.0
371,1402000000.0,101207452.0,2242141.0,55759371.0
372,1402000000.0,101820133.0,2259147.0,56075030.0
373,1402000000.0,102408593.0,2274513.0,56439137.0
374,1402000000.0,102929535.0,2287988.0,56790303.0
375,1402000000.0,103316210.0,2296745.0,57079202.0
376,1402000000.0,103759461.0,2307089.0,57351844.0
377,1402000000.0,104225777.0,2322495.0,57702034.0
378,1402000000.0,104753926.0,2338499.0,58031881.0
379,1402000000.0,105224643.0,2351517.0,58325870.0
380,1402000000.0,105759844.0,2368653.0,58607157.0
381,1402000000.0,106193979.0,2380048.0,58901714.0
382,1402000000.0,106545561.0,2387334.0,59179149.0
383,1402000000.0,106885585.0,2396728.0,59411983.0
384,1402000000.0,107293632.0,2412129.0,59783591.0
385,1402000000.0,107733910.0,2426151.0,60052899.0
386,1402000000.0,108178545.0,2439904.0,60328984.0
387,1402000000.0,108608756.0,2452890.0,60616583.0
388,1402000000.0,108988363.0,2463282.0,60862826.0
389,1402000000.0,109296550.0,2469908.0,61058257.0
390,1402000000.0,109577584.0,2477376.0,61346870.0
391,1402000000.0,109938379.0,2488716.0,61582275.0
392,1402000000.0,110325774.0,2500655.0,61876216.0
393,1402000000.0,110736502.0,2512548.0,62112834.0
394,1402000000.0,111146542.0,2524228.0,62347470.0
395,1402000000.0,111520081.0,2532954.0,62616686.0
396,1402000000.0,111838264.0,2539448.0,62833943.0
397,1402000000.0,112133901.0,2546816.0,63016513.0
398,1402000000.0,112528524.0,2558493.0,63295143.0
399,1402000000.0,112975684.0,2570992.0,63504602.0
400,1402000000.0,113428338.0,2581639.0,63732294.0
401,1402000000.0,113870021.0,2592416.0,63992562.0
402,1402000000.0,114266049.0,2600895.0,64243284.0
403,1402000000.0,114574009.0,2607136.0,64418461.0
404,1402000000.0,114879368.0,2614825.0,64633387.0
405,1402000000.0,115194477.0,2625235.0,64903491.0
406,1402000000.0,115639388.0,2636950.0,65132899.0
407,1402000000.0,116097110.0,2647329.0,65383179.0
408,1402000000.0,116545468.0,2657833.0,65609539.0
409,1402000000.0,116959496.0,2665902.0,65846042.0
410,1402000000.0,117332498.0,2671776.0,
411,1402000000.0,117636615.0,2679019.0,
412,1402000000.0,118052463.0,2689625.0,
413,1402000000.0,118523347.0,2699826.0,
414,1402000000.0,119003389.0,2710003.0,
415,1402000000.0,119492733.0,2719870.0,
416,1402000000.0,119947216.0,2728244.0,
417,1402000000.0,120311099.0,2734080.0,
418,1402000000.0,120664560.0,2741737.0,
419,1402000000.0,121134351.0,2752378.0,
420,1402000000.0,121684207.0,2762949.0,
421,1402000000.0,122231115.0,2773669.0,
422,1402000000.0,122792777.0,2784476.0,
423,1402000000.0,123290272.0,2793150.0,
424,1402000000.0,123726891.0,2801547.0,
425,1402000000.0,124148056.0,2809622.0,
426,1402000000.0,124666604.0,2821109.0,
427,1402000000.0,125304212.0,2831772.0,
428,1402000000.0,125955327.0,2843286.0,
429,1402000000.0,126593893.0,2856030.0,
430,1402000000.0,127177480.0,2866170.0,
431,1402000000.0,127654719.0,2873374.0,
432,1402000000.0,128115003.0,2882109.0,
433,1402000000.0,128688871.0,2894095.0,
434,1402000000.0,129371529.0,2906949.0,
435,1402000000.0,130080520.0,2919269.0,
436,1402000000.0,130719009.0,2929785.0,
437,1402000000.0,131246273.0,2939048.0,
438,1402000000.0,131805222.0,2946412.0,
439,1402000000.0,132297643.0,2954686.0,
440,1402000000.0,132904137.0,2967145.0,
441,1402000000.0,133587676.0,2982740.0,
442,1402000000.0,134430286.0,2997063.0,
443,1402000000.0,135176199.0,3011385.0,
444,1402000000.0,135841673.0,3024278.0,
445,1402000000.0,136536591.0,3033360.0,
446,1402000000.0,137148513.0,3043443.0,
447,1402000000.0,137932755.0,3057311.0,
448,1402000000.0,138751433.0,3071358.0,
449,1402000000.0,139567418.0,3084968.0,
450,1402000000.0,140426238.0,3098331.0,
451,1402000000.0,141216193.0,3110794.0,
452,1402000000.0,141899451.0,3119919.0,
453,1402000000.0,142589666.0,3131228.0,
454,1402000000.0,143449515.0,3145580.0,
455,1402000000.0,144337054.0,3160241.0,
456,1402000000.0,145239541.0,3174123.0,
457,1402000000.0,146142942.0,3189414.0,
458,1402000000.0,146958619.0,3202368.0,
459,1402000000.0,147685787.0,3213059.0,
460,1402000000.0,148368471.0,3224927.0,
461,1402000000.0,149219590.0,3239915.0,
462,1402000000.0,150125625.0,3255844.0,
463,1402000000.0,151019641.0,3271590.0,
464,1402000000.0,151903417.0,3285928.0,
465,1402000000.0,152698222.0,3298836.0,
466,1402000000.0,153374206.0,3309114.0,
467,1402000000.0,154061191.0,3320989.0,
468,1402000000.0,154863874.0,3335077.0,
469,1402000000.0,155711150.0,3349920.0,
470,1402000000.0,156578997.0,3364562.0,
471,1402000000.0,157410673.0,3379033.0,
472,1402000000.0,158197901.0,3392230.0,
473,1402000000.0,158835245.0,3402577.0,
474,1402000000.0,159460908.0,3413860.0,
475,1402000000.0,160199813.0,3428036.0,
476,1402000000.0,160959766.0,3441985.0,
477,1402000000.0,161691782.0,3455573.0,
478,1402000000.0,162401818.0,3468560.0,
479,1402000000.0,163033122.0,3480723.0,
480,1402000000.0,163579870.0,3490986.0,
481,1402000000.0,164120405.0,3502456.0,
482,1402000000.0,164744321.0,3516601.0,
483,1402000000.0,165417873.0,3530032.0,
484,1402000000.0,165698903.0,3543199.0,
485,1402000000.0,166325695.0,3556111.0,
486,1402000000.0,166897417.0,3567457.0,
487,1402000000.0,167377603.0,3577244.0,
488,1402000000.0,167828173.0,3586353.0,
489,1402000000.0,168362881.0,3599554.0,
490,1402000000.0,168932742.0,3612356.0,
491,1402000000.0,169480030.0,3625213.0,
492,1402000000.0,169984908.0,3637190.0,
493,1402000000.0,170465217.0,3647884.0,
494,1402000000.0,170855183.0,3656228.0,
495,1402000000.0,171241958.0,3665031.0,
496,1402000000.0,171702988.0,3680269.0,
497,1402000000.0,172190581.0,3692152.0,
498,1402000000.0,172670768.0,3702236.0,
499,1402000000.0,173096094.0,3712914.0,
500,1402000000.0,173493579.0,3722264.0,
501,1402000000.0,173816480.0,3729489.0,
502,1402000000.0,174138451.0,3737667.0,
503,1402000000.0,174510004.0,3748284.0,
504,1402000000.0,174928717.0,3758425.0,
505,1402000000.0,175381957.0,3774401.0,
506,1402000000.0,175804442.0,3786165.0,
507,1402000000.0,176172777.0,3795860.0,
508,1402000000.0,176475475.0,3805117.0,
509,1402000000.0,176785078.0,3813180.0,
510,1402000000.0,177160522.0,3823971.0,
511,1402000000.0,177549434.0,3833998.0,
512,1402000000.0,177945482.0,3843306.0,
513,1402000000.0,178348971.0,3852512.0,
514,1402000000.0,178697310.0,3860592.0,
515,1402000000.0,179000576.0,3867320.0,
516,1402000000.0,179297202.0,3874369.0,
517,1402000000.0,179707761.0,3883291.0,
518,1402000000.0,180104886.0,3892686.0,
519,1402000000.0,180513783.0,3901310.0,
520,1402000000.0,180931844.0,3910546.0,
