,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
375,40163211.0,4944.0,2400.0,47679.0
376,40163175.0,4932.0,2404.0,47723.0
377,40163113.0,4918.0,2405.0,47798.0
378,40163060.0,4786.0,2406.0,47982.0
379,40163003.0,4829.0,2407.0,47995.0
380,40162969.0,4840.0,2407.0,48018.0
381,40162904.0,4895.0,2408.0,48027.0
382,40162899.0,4884.0,2410.0,48041.0
383,40162875.0,4904.0,2413.0,48042.0
384,40162850.0,4861.0,2414.0,48109.0
385,40162832.0,4851.0,2418.0,48133.0
386,40162814.0,4722.0,2419.0,48279.0
387,40162789.0,4631.0,2424.0,48390.0
388,40162761.0,4654.0,2427.0,48392.0
389,40162742.0,4670.0,2427.0,48395.0
390,40162720.0,4654.0,2427.0,48433.0
391,40162716.0,4576.0,2428.0,48514.0
392,40162694.0,4486.0,2428.0,48626.0
393,40162677.0,4329.0,2430.0,48798.0
394,40162659.0,4342.0,2430.0,48803.0
395,40162654.0,4330.0,2430.0,48820.0
396,40162630.0,4338.0,2432.0,48834.0
397,40162617.0,4289.0,2433.0,48895.0
398,40162588.0,4244.0,2435.0,48967.0
399,40162570.0,4142.0,2436.0,49086.0
400,40162554.0,3961.0,2438.0,49281.0
401,40162538.0,3969.0,2442.0,49285.0
402,40162527.0,3976.0,2443.0,49288.0
403,40162520.0,3938.0,2443.0,49333.0
404,40162501.0,3945.0,2444.0,49344.0
405,40162475.0,3966.0,2446.0,49347.0
406,40162464.0,3965.0,2446.0,49359.0
407,40162459.0,3967.0,2446.0,49362.0
408,40162407.0,4016.0,2449.0,49362.0
409,40162394.0,4022.0,2449.0,49369.0
410,40162387.0,4020.0,2449.0,49378.0
411,40162358.0,4023.0,2451.0,49402.0
412,40162358.0,4016.0,2451.0,49409.0
413,40162340.0,3944.0,2451.0,49499.0
414,40162317.0,3967.0,2451.0,49499.0
415,40162275.0,4006.0,2454.0,49499.0
416,40162275.0,4034.0,2454.0,49471.0
417,40162249.0,4051.0,2457.0,49477.0
418,40162249.0,4045.0,2459.0,49481.0
419,40162239.0,4036.0,2460.0,49499.0
420,40162218.0,4020.0,2460.0,49536.0
421,40162190.0,3918.0,2462.0,49664.0
422,40162165.0,3926.0,2462.0,49681.0
423,40162141.0,3950.0,2462.0,49681.0
424,40162131.0,3903.0,2463.0,49737.0
425,40162081.0,3946.0,2464.0,49743.0
426,40162057.0,3959.0,2466.0,49752.0
427,40162042.0,3924.0,2466.0,49802.0
428,40162008.0,3822.0,2467.0,49937.0
429,40161980.0,3793.0,2467.0,49994.0
430,40161944.0,3827.0,2469.0,49994.0
431,40161940.0,3811.0,2470.0,50013.0
432,40161912.0,3184.0,2472.0,50666.0
433,40161850.0,2435.0,2476.0,51473.0
434,40161780.0,2420.0,2484.0,51550.0
435,40161717.0,2240.0,2489.0,51788.0
436,40161662.0,2279.0,2495.0,51798.0
437,40161639.0,2297.0,2496.0,51802.0
438,40161558.0,2294.0,2497.0,51885.0
439,40161517.0,2307.0,2508.0,51902.0
440,40161455.0,2339.0,2512.0,51928.0
441,40161361.0,2421.0,2512.0,51940.0
442,40161291.0,2471.0,2516.0,51956.0
443,40161215.0,2537.0,2521.0,51961.0
444,40161090.0,2661.0,2521.0,51962.0
445,40161074.0,2650.0,2521.0,51989.0
446,40160992.0,2708.0,2529.0,52005.0
447,40160870.0,2822.0,2529.0,52013.0
448,40160742.0,2938.0,2532.0,52022.0
449,40160700.0,2918.0,2533.0,52083.0
450,40160622.0,2972.0,2535.0,52105.0
451,40160513.0,3066.0,2539.0,52116.0
452,40160441.0,3086.0,2539.0,52168.0
453,40160336.0,3108.0,2546.0,52244.0
454,40160197.0,3216.0,2549.0,52272.0
